,serch_keyword,job_title,company_name,job_posted_date,job_location,job_link
156,data-science,  Internship Services Life Cycle Support (m/f/d) - at least 6 months  , INNIO Jenbacher ,4.2.2022,Jenbach,https://www.karriere.at/jobs/6059005
157,data-science,  Internship Services Material Planning (m/f/d) - at least 6 months  , INNIO Jenbacher ,4.2.2022,Jenbach,https://www.karriere.at/jobs/6058999
158,data-science,  System Support Specialist - Beverage Innovation  , Red Bull GmbH ,4.2.2022,Fuschl,https://www.karriere.at/jobs/5909466
159,data-science,  Praktikum Data Engineer/Schwerpunkt Datawarehouse  , OeKB Gruppe ,4.2.2022,Vienna,https://www.karriere.at/jobs/5993965
160,data-science,  Data Engineer (m/w/d)  , STRABAG SE ,4.2.2022,Köln,https://www.karriere.at/jobs/6004606
161,data-science,  Student Consultant Data Engineering (m/w/d)  , Capgemini  ,4.2.2022,Vienna,https://www.karriere.at/jobs/5979007
162,data-science,  Solution Architect (m/w/d)  , STRABAG SE ,4.2.2022,Köln,https://www.karriere.at/jobs/6004612
163,data-science,  Product Analyst (m/f/d)  , Greentube GmbH ,4.2.2022,Vienna,https://www.karriere.at/jobs/5988154
164,data-science,  (Junior) Data Engineer / Analyst (m/w/d)  , UNITO Versand & Dienstleistungen GmbH ,4.2.2022,Graz,https://www.karriere.at/jobs/6027163
165,data-science,  Senior Digital Imaging Expert 100% (m/w/d)  , Tecan Austria GmbH ,4.2.2022,Grödig,https://www.karriere.at/jobs/5824454
166,data-science,  Internship for Smart Environmental Sensing  , AIT Austrian Institute of Technology GmbH ,4.2.2022,Vienna,https://www.karriere.at/jobs/5957146
167,data-science,  Digital Content Management  , Institute of Science and Technology Austria (IST Austria) ,3.2.2022,Klosterneuburg,https://www.karriere.at/jobs/6057706
168,data-science,"  Data Analyst im SCM Bereich (w/m/x) - Zahlen, Daten, Fakten & modernes Supply Chain Management  ", epunkt GmbH ,3.2.2022,Bezirk,https://www.karriere.at/jobs/6056335
169,data-science,  Performance Management Solutions Consultant - Planning Expert (f/m/d)  , Swarovski ,3.2.2022,Wattens,https://www.karriere.at/jobs/6055213
170,data-science,  Data Privacy Security Management Expert (all genders)  , Erste Bank ,3.2.2022,Vienna,https://www.karriere.at/jobs/6035329
171,data-science,  Junior AI DevOps Engineer (m/w/d)  , XXXLdigital – Part of XXXL Group ,3.2.2022,Wels,https://www.karriere.at/jobs/5854499
172,data-science,  Datenanalyst (w/m/d) - Teilzeit 20h  , Anton Paar GmbH ,3.2.2022,Wundschuh,https://www.karriere.at/jobs/5933205
